"","state","Team","Hits"
"1","virginia","Arsenal",100
"2","district of columbia","Arsenal",84
"3","maryland","Arsenal",71
"4","oregon","Arsenal",66
"5","new jersey","Arsenal",64
"6","new york","Arsenal",62
"7","massachusetts","Arsenal",59
"8","minnesota","Arsenal",58
"9","connecticut","Arsenal",53
"10","delaware","Arsenal",46
"11","washington","Arsenal",46
"12","vermont","Arsenal",45
"13","california","Arsenal",45
"14","kansas","Arsenal",45
"15","illinois","Arsenal",43
"16","rhode island","Arsenal",42
"17","colorado","Arsenal",41
"18","georgia","Arsenal",41
"19","nevada","Arsenal",41
"20","north carolina","Arsenal",39
"21","texas","Arsenal",38
"22","pennsylvania","Arsenal",38
"23","florida","Arsenal",37
"24","missouri","Arsenal",36
"25","maine","Arsenal",34
"26","ohio","Arsenal",34
"27","north dakota","Arsenal",33
"28","new hampshire","Arsenal",33
"29","arizona","Arsenal",32
"30","utah","Arsenal",32
"31","iowa","Arsenal",32
"32","nebraska","Arsenal",32
"33","michigan","Arsenal",30
"34","indiana","Arsenal",30
"35","tennessee","Arsenal",28
"36","south carolina","Arsenal",27
"37","kentucky","Arsenal",27
"38","alabama","Arsenal",27
"39","wisconsin","Arsenal",27
"40","south dakota","Arsenal",27
"41","new mexico","Arsenal",25
"42","oklahoma","Arsenal",25
"43","hawaii","Arsenal",23
"44","louisiana","Arsenal",22
"45","west virginia","Arsenal",21
"46","wyoming","Arsenal",20
"47","idaho","Arsenal",20
"48","arkansas","Arsenal",19
"49","alaska","Arsenal",19
"50","montana","Arsenal",18
"51","mississippi","Arsenal",16
"52","virginia","Chelsea",100
"53","district of columbia","Chelsea",73
"54","maryland","Chelsea",70
"55","oregon","Chelsea",69
"56","new jersey","Chelsea",69
"57","new york","Chelsea",65
"58","massachusetts","Chelsea",64
"59","minnesota","Chelsea",58
"60","connecticut","Chelsea",49
"61","delaware","Chelsea",46
"62","washington","Chelsea",46
"63","vermont","Chelsea",45
"64","california","Chelsea",44
"65","kansas","Chelsea",44
"66","illinois","Chelsea",44
"67","rhode island","Chelsea",43
"68","colorado","Chelsea",42
"69","georgia","Chelsea",42
"70","nevada","Chelsea",41
"71","north carolina","Chelsea",41
"72","texas","Chelsea",40
"73","pennsylvania","Chelsea",40
"74","florida","Chelsea",39
"75","missouri","Chelsea",36
"76","maine","Chelsea",36
"77","ohio","Chelsea",35
"78","north dakota","Chelsea",34
"79","new hampshire","Chelsea",34
"80","arizona","Chelsea",34
"81","utah","Chelsea",33
"82","iowa","Chelsea",32
"83","nebraska","Chelsea",32
"84","michigan","Chelsea",32
"85","indiana","Chelsea",32
"86","tennessee","Chelsea",31
"87","south carolina","Chelsea",31
"88","kentucky","Chelsea",31
"89","alabama","Chelsea",30
"90","wisconsin","Chelsea",29
"91","south dakota","Chelsea",27
"92","new mexico","Chelsea",27
"93","oklahoma","Chelsea",26
"94","hawaii","Chelsea",25
"95","louisiana","Chelsea",24
"96","west virginia","Chelsea",24
"97","wyoming","Chelsea",23
"98","idaho","Chelsea",21
"99","arkansas","Chelsea",20
"100","alaska","Chelsea",19
"101","montana","Chelsea",19
"102","mississippi","Chelsea",18
"103","virginia","Liverpool",100
"104","district of columbia","Liverpool",97
"105","maryland","Liverpool",94
"106","oregon","Liverpool",94
"107","new jersey","Liverpool",89
"108","new york","Liverpool",88
"109","massachusetts","Liverpool",83
"110","minnesota","Liverpool",73
"111","connecticut","Liverpool",66
"112","delaware","Liverpool",66
"113","washington","Liverpool",66
"114","vermont","Liverpool",61
"115","california","Liverpool",61
"116","kansas","Liverpool",59
"117","illinois","Liverpool",58
"118","rhode island","Liverpool",58
"119","colorado","Liverpool",57
"120","georgia","Liverpool",57
"121","nevada","Liverpool",55
"122","north carolina","Liverpool",54
"123","texas","Liverpool",54
"124","pennsylvania","Liverpool",53
"125","florida","Liverpool",52
"126","missouri","Liverpool",52
"127","maine","Liverpool",50
"128","ohio","Liverpool",50
"129","north dakota","Liverpool",48
"130","new hampshire","Liverpool",47
"131","arizona","Liverpool",46
"132","utah","Liverpool",46
"133","iowa","Liverpool",45
"134","nebraska","Liverpool",45
"135","michigan","Liverpool",44
"136","indiana","Liverpool",43
"137","tennessee","Liverpool",40
"138","south carolina","Liverpool",40
"139","kentucky","Liverpool",38
"140","alabama","Liverpool",36
"141","wisconsin","Liverpool",36
"142","south dakota","Liverpool",35
"143","new mexico","Liverpool",34
"144","oklahoma","Liverpool",31
"145","hawaii","Liverpool",31
"146","louisiana","Liverpool",30
"147","west virginia","Liverpool",30
"148","wyoming","Liverpool",30
"149","idaho","Liverpool",29
"150","arkansas","Liverpool",25
"151","alaska","Liverpool",24
"152","montana","Liverpool",22
"153","mississippi","Liverpool",22
"154","virginia","Manchester City",100
"155","district of columbia","Manchester City",99
"156","maryland","Manchester City",86
"157","oregon","Manchester City",85
"158","new jersey","Manchester City",78
"159","new york","Manchester City",77
"160","massachusetts","Manchester City",74
"161","minnesota","Manchester City",73
"162","connecticut","Manchester City",71
"163","delaware","Manchester City",70
"164","washington","Manchester City",66
"165","vermont","Manchester City",62
"166","california","Manchester City",61
"167","kansas","Manchester City",60
"168","illinois","Manchester City",58
"169","rhode island","Manchester City",57
"170","colorado","Manchester City",57
"171","georgia","Manchester City",56
"172","nevada","Manchester City",54
"173","north carolina","Manchester City",54
"174","texas","Manchester City",50
"175","pennsylvania","Manchester City",50
"176","florida","Manchester City",49
"177","missouri","Manchester City",48
"178","maine","Manchester City",48
"179","ohio","Manchester City",48
"180","north dakota","Manchester City",47
"181","new hampshire","Manchester City",47
"182","arizona","Manchester City",46
"183","utah","Manchester City",44
"184","iowa","Manchester City",43
"185","nebraska","Manchester City",43
"186","michigan","Manchester City",43
"187","indiana","Manchester City",43
"188","tennessee","Manchester City",42
"189","south carolina","Manchester City",42
"190","kentucky","Manchester City",37
"191","alabama","Manchester City",35
"192","wisconsin","Manchester City",35
"193","south dakota","Manchester City",35
"194","new mexico","Manchester City",35
"195","oklahoma","Manchester City",32
"196","hawaii","Manchester City",32
"197","louisiana","Manchester City",31
"198","west virginia","Manchester City",30
"199","wyoming","Manchester City",30
"200","idaho","Manchester City",25
"201","arkansas","Manchester City",22
"202","alaska","Manchester City",21
"203","montana","Manchester City",20
"204","mississippi","Manchester City",19
