"","Season","End_of_Season","Team","Value"
"1","13_14",2014-05-31,"Manchester City",416.5
"2","14_15",2015-05-31,"Manchester City",463.5
"3","15_16",2016-05-31,"Manchester City",524.9
"4","16_17",2017-05-31,"Manchester City",527.7
"5","17_18",2018-05-31,"Manchester City",568.4
"6","18_19",2019-05-31,"Manchester City",610.6
"7","19_20",2020-05-31,"Manchester City",549.2
"8","20-21",2021-05-31,"Manchester City",644.9
"9","21_22",2022-05-31,"Manchester City",731
"10","22_23",2023-05-31,"Manchester City",825.9
"11","13_14",2014-05-31,"Arsenal",359.3
"12","14_15",2015-05-31,"Arsenal",435.5
"13","15_16",2016-05-31,"Arsenal",468.5
"14","16_17",2017-05-31,"Arsenal",487.6
"15","17_18",2018-05-31,"Arsenal",439.2
"16","18_19",2019-05-31,"Arsenal",445.2
"17","19_20",2020-05-31,"Arsenal",388
"18","20-21",2021-05-31,"Arsenal",366.5
"19","21_22",2022-05-31,"Arsenal",433.5
"20","22_23",2023-05-31,"Arsenal",532.6
"21","13_14",2014-05-31,"Liverpool",305.9
"22","14_15",2015-05-31,"Liverpool",391.8
"23","15_16",2016-05-31,"Liverpool",403.8
"24","16_17",2017-05-31,"Liverpool",424.2
"25","17_18",2018-05-31,"Liverpool",513.7
"26","18_19",2019-05-31,"Liverpool",604.7
"27","19_20",2020-05-31,"Liverpool",558.6
"28","20-21",2021-05-31,"Liverpool",550.4
"29","21_22",2022-05-31,"Liverpool",701.7
"30","22_23",2023-05-31,"Liverpool",682.9
"31","13_14",2014-05-31,"Chelsea",387.9
"32","14_15",2015-05-31,"Chelsea",420
"33","15_16",2016-05-31,"Chelsea",447.4
"34","16_17",2017-05-31,"Chelsea",428
"35","17_18",2018-05-31,"Chelsea",505.7
"36","18_19",2019-05-31,"Chelsea",513.1
"37","19_20",2020-05-31,"Chelsea",469.7
"38","20-21",2021-05-31,"Chelsea",493.1
"39","21_22",2022-05-31,"Chelsea",568.3
"40","22_23",2023-05-31,"Chelsea",589.4
