"","Season","End_of_Season","Team","Value","month"
"1","13_14",2014-05-31,"Manchester City",416.5,"2013-6"
"2","13_14",2014-05-31,"Arsenal",359.3,"2013-6"
"3","13_14",2014-05-31,"Liverpool",305.9,"2013-6"
"4","13_14",2014-05-31,"Chelsea",387.9,"2013-6"
"5","14_15",2015-05-31,"Manchester City",463.5,"2014-6"
"6","14_15",2015-05-31,"Arsenal",435.5,"2014-6"
"7","14_15",2015-05-31,"Liverpool",391.8,"2014-6"
"8","14_15",2015-05-31,"Chelsea",420,"2014-6"
"9","15_16",2016-05-31,"Manchester City",524.9,"2015-6"
"10","15_16",2016-05-31,"Arsenal",468.5,"2015-6"
"11","15_16",2016-05-31,"Liverpool",403.8,"2015-6"
"12","15_16",2016-05-31,"Chelsea",447.4,"2015-6"
"13","16_17",2017-05-31,"Manchester City",527.7,"2016-6"
"14","16_17",2017-05-31,"Arsenal",487.6,"2016-6"
"15","16_17",2017-05-31,"Liverpool",424.2,"2016-6"
"16","16_17",2017-05-31,"Chelsea",428,"2016-6"
"17","17_18",2018-05-31,"Manchester City",568.4,"2017-6"
"18","17_18",2018-05-31,"Arsenal",439.2,"2017-6"
"19","17_18",2018-05-31,"Liverpool",513.7,"2017-6"
"20","17_18",2018-05-31,"Chelsea",505.7,"2017-6"
"21","18_19",2019-05-31,"Manchester City",610.6,"2018-6"
"22","18_19",2019-05-31,"Arsenal",445.2,"2018-6"
"23","18_19",2019-05-31,"Liverpool",604.7,"2018-6"
"24","18_19",2019-05-31,"Chelsea",513.1,"2018-6"
"25","19_20",2020-05-31,"Manchester City",549.2,"2019-6"
"26","19_20",2020-05-31,"Arsenal",388,"2019-6"
"27","19_20",2020-05-31,"Liverpool",558.6,"2019-6"
"28","19_20",2020-05-31,"Chelsea",469.7,"2019-6"
"29","20-21",2021-05-31,"Manchester City",644.9,"2020-6"
"30","20-21",2021-05-31,"Arsenal",366.5,"2020-6"
"31","20-21",2021-05-31,"Liverpool",550.4,"2020-6"
"32","20-21",2021-05-31,"Chelsea",493.1,"2020-6"
"33","21_22",2022-05-31,"Manchester City",731,"2021-6"
"34","21_22",2022-05-31,"Arsenal",433.5,"2021-6"
"35","21_22",2022-05-31,"Liverpool",701.7,"2021-6"
"36","21_22",2022-05-31,"Chelsea",568.3,"2021-6"
"37","22_23",2023-05-31,"Manchester City",825.9,"2022-6"
"38","22_23",2023-05-31,"Arsenal",532.6,"2022-6"
"39","22_23",2023-05-31,"Liverpool",682.9,"2022-6"
"40","22_23",2023-05-31,"Chelsea",589.4,"2022-6"
