"","Season","End_of_Season","Team","Value"
"1","13_14","31052014","Manchester City",115.5
"2","14_15","31052015","Manchester City",102.8
"3","15_16","31052016","Manchester City",208.47
"4","16_17","31052017","Manchester City",216.25
"5","17_18","31052018","Manchester City",317.5
"6","18_19","31052019","Manchester City",78.59
"7","19_20","31052020","Manchester City",169.82
"8","20-21","31052021","Manchester City",173.4
"9","21_22","31052022","Manchester City",138.9
"10","22_23","31052023","Manchester City",155
"11","13_14","31052014","Arsenal",49.25
"12","14_15","31052015","Arsenal",118.98
"13","15_16","31052016","Arsenal",26.5
"14","16_17","31052017","Arsenal",113
"15","17_18","31052018","Arsenal",152.85
"16","18_19","31052019","Arsenal",80.15
"17","19_20","31052020","Arsenal",160.8
"18","20-21","31052021","Arsenal",86
"19","21_22","31052022","Arsenal",167.4
"20","22_23","31052023","Arsenal",186.4
"21","13_14","31052014","Liverpool",58.1
"22","14_15","31052015","Liverpool",151.43
"23","15_16","31052016","Liverpool",126.5
"24","16_17","31052017","Liverpool",79.9
"25","17_18","31052018","Liverpool",173.65
"26","18_19","31052019","Liverpool",182.2
"27","19_20","31052020","Liverpool",10.4
"28","20-21","31052021","Liverpool",84.05
"29","21_22","31052022","Liverpool",87
"30","22_23","31052023","Liverpool",142.3
"31","13_14","31052014","Chelsea",130.35
"32","14_15","31052015","Chelsea",137.7
"33","15_16","31052016","Chelsea",96.5
"34","16_17","31052017","Chelsea",132.8
"35","17_18","31052018","Chelsea",260.5
"36","18_19","31052019","Chelsea",208.8
"37","19_20","31052020","Chelsea",45
"38","20-21","31052021","Chelsea",247.2
"39","21_22","31052022","Chelsea",118
"40","22_23","31052023","Chelsea",611.49
