"","Season","End_of_Season","Team","Value","month"
"1","13_14","31052014","Manchester City",115.5,"2014-6"
"2","13_14","31052014","Arsenal",49.25,"2014-6"
"3","13_14","31052014","Liverpool",58.1,"2014-6"
"4","13_14","31052014","Chelsea",130.35,"2014-6"
"5","14_15","31052015","Manchester City",102.8,"2015-6"
"6","14_15","31052015","Arsenal",118.98,"2015-6"
"7","14_15","31052015","Liverpool",151.43,"2015-6"
"8","14_15","31052015","Chelsea",137.7,"2015-6"
"9","15_16","31052016","Manchester City",208.47,"2016-6"
"10","15_16","31052016","Arsenal",26.5,"2016-6"
"11","15_16","31052016","Liverpool",126.5,"2016-6"
"12","15_16","31052016","Chelsea",96.5,"2016-6"
"13","16_17","31052017","Manchester City",216.25,"2017-6"
"14","16_17","31052017","Arsenal",113,"2017-6"
"15","16_17","31052017","Liverpool",79.9,"2017-6"
"16","16_17","31052017","Chelsea",132.8,"2017-6"
"17","17_18","31052018","Manchester City",317.5,"2018-6"
"18","17_18","31052018","Arsenal",152.85,"2018-6"
"19","17_18","31052018","Liverpool",173.65,"2018-6"
"20","17_18","31052018","Chelsea",260.5,"2018-6"
"21","18_19","31052019","Manchester City",78.59,"2019-6"
"22","18_19","31052019","Arsenal",80.15,"2019-6"
"23","18_19","31052019","Liverpool",182.2,"2019-6"
"24","18_19","31052019","Chelsea",208.8,"2019-6"
"25","19_20","31052020","Manchester City",169.82,"2020-6"
"26","19_20","31052020","Arsenal",160.8,"2020-6"
"27","19_20","31052020","Liverpool",10.4,"2020-6"
"28","19_20","31052020","Chelsea",45,"2020-6"
"29","20-21","31052021","Manchester City",173.4,"2021-6"
"30","20-21","31052021","Arsenal",86,"2021-6"
"31","20-21","31052021","Liverpool",84.05,"2021-6"
"32","20-21","31052021","Chelsea",247.2,"2021-6"
"33","21_22","31052022","Manchester City",138.9,"2022-6"
"34","21_22","31052022","Arsenal",167.4,"2022-6"
"35","21_22","31052022","Liverpool",87,"2022-6"
"36","21_22","31052022","Chelsea",118,"2022-6"
"37","22_23","31052023","Manchester City",155,"2023-6"
"38","22_23","31052023","Arsenal",186.4,"2023-6"
"39","22_23","31052023","Liverpool",142.3,"2023-6"
"40","22_23","31052023","Chelsea",611.49,"2023-6"
