"","Season","End_of_Season","Manchester_City","Arsenal","Liverpool","Chelsea"
"1","13_14",2014-05-31,416.5,359.3,305.9,387.9
"2","14_15",2015-05-31,463.5,435.5,391.8,420
"3","15_16",2016-05-31,524.9,468.5,403.8,447.4
"4","16_17",2017-05-31,527.7,487.6,424.2,428
"5","17_18",2018-05-31,568.4,439.2,513.7,505.7
"6","18_19",2019-05-31,610.6,445.2,604.7,513.1
"7","19_20",2020-05-31,549.2,388,558.6,469.7
"8","20-21",2021-05-31,644.9,366.5,550.4,493.1
"9","21_22",2022-05-31,731,433.5,701.7,568.3
"10","22_23",2023-05-31,825.9,532.6,682.9,589.4
