"","state","Arsenal","Chelsea","Liverpool","Manchester_City"
"1","Virginia",100,100,100,100
"2","District of Columbia",84,73,97,99
"3","Maryland",71,70,94,86
"4","Oregon",66,69,94,85
"5","New Jersey",64,69,89,78
"6","New York",62,65,88,77
"7","Massachusetts",59,64,83,74
"8","Minnesota",58,58,73,73
"9","Connecticut",53,49,66,71
"10","Delaware",46,46,66,70
"11","Washington",46,46,66,66
"12","Vermont",45,45,61,62
"13","California",45,44,61,61
"14","Kansas",45,44,59,60
"15","Illinois",43,44,58,58
"16","Rhode Island",42,43,58,57
"17","Colorado",41,42,57,57
"18","Georgia",41,42,57,56
"19","Nevada",41,41,55,54
"20","North Carolina",39,41,54,54
"21","Texas",38,40,54,50
"22","Pennsylvania",38,40,53,50
"23","Florida",37,39,52,49
"24","Missouri",36,36,52,48
"25","Maine",34,36,50,48
"26","Ohio",34,35,50,48
"27","North Dakota",33,34,48,47
"28","New Hampshire",33,34,47,47
"29","Arizona",32,34,46,46
"30","Utah",32,33,46,44
"31","Iowa",32,32,45,43
"32","Nebraska",32,32,45,43
"33","Michigan",30,32,44,43
"34","Indiana",30,32,43,43
"35","Tennessee",28,31,40,42
"36","South Carolina",27,31,40,42
"37","Kentucky",27,31,38,37
"38","Alabama",27,30,36,35
"39","Wisconsin",27,29,36,35
"40","South Dakota",27,27,35,35
"41","New Mexico",25,27,34,35
"42","Oklahoma",25,26,31,32
"43","Hawaii",23,25,31,32
"44","Louisiana",22,24,30,31
"45","West Virginia",21,24,30,30
"46","Wyoming",20,23,30,30
"47","Idaho",20,21,29,25
"48","Arkansas",19,20,25,22
"49","Alaska",19,19,24,21
"50","Montana",18,19,22,20
"51","Mississippi",16,18,22,19
