"","Team","Total_Pts"
"1","Manchester City",856
"2","Liverpool",781
"3","Chelsea",705
"4","Arsenal",703
"5","Manchester United",689
"6","Tottenham Hotspur",689
"7","Everton",513
"8","West Ham United",488
"9","Leicester City",479
"10","Southampton",460
"11","Crystal Palace",449
"12","Newcastle United",423
"13","Burnley",295
"14","Aston Villa",289
"15","Brighton & Hove Albion",271
"16","Wolverhampton Wanderers",253
"17","AFC Bournemouth",250
"18","Watford",233
"19","Stoke City",232
"20","West Bromwich Albion",225
"21","Swansea City",219
"22","Sunderland",139
"23","Fulham",138
"24","Leeds United",128
"25","Norwich City",110
"26","Hull City",106
"27","Brentford",105
"28","Sheffield United",77
"29","Cardiff City",64
"30","Huddersfield Town",53
"31","Nottingham Forest",38
"32","Queens Park Rangers",30
"33","Middlesbrough",28
