"","Season","End_of_Season","Manchester_City","Arsenal","Liverpool","Chelsea"
"1","13_14",2014-05-31,115.5,49.25,58.1,130.35
"2","14_15",2015-05-31,102.8,118.98,151.43,137.7
"3","15_16",2016-05-31,208.47,26.5,126.5,96.5
"4","16_17",2017-05-31,216.25,113,79.9,132.8
"5","17_18",2018-05-31,317.5,152.85,173.65,260.5
"6","18_19",2019-05-31,78.59,80.15,182.2,208.8
"7","19_20",2020-05-31,169.82,160.8,10.4,45
"8","20-21",2021-05-31,173.4,86,84.05,247.2
"9","21_22",2022-05-31,138.9,167.4,87,118
"10","22_23",2023-05-31,155,186.4,142.3,611.49
