Category: All categories

Region,Arsenal F.C.: (6/1/13 - 5/31/23)
Virginia,100
District of Columbia,84
Maryland,71
Oregon,66
New Jersey,64
New York,62
Massachusetts,59
Minnesota,58
Connecticut,53
Delaware,46
Washington,46
Vermont,45
California,45
Kansas,45
Illinois,43
Rhode Island,42
Colorado,41
Georgia,41
Nevada,41
North Carolina,39
Texas,38
Pennsylvania,38
Florida,37
Missouri,36
Maine,34
Ohio,34
North Dakota,33
New Hampshire,33
Arizona,32
Utah,32
Iowa,32
Nebraska,32
Michigan,30
Indiana,30
Tennessee,28
South Carolina,27
Kentucky,27
Alabama,27
Wisconsin,27
South Dakota,27
New Mexico,25
Oklahoma,25
Hawaii,23
Louisiana,22
West Virginia,21
Wyoming,20
Idaho,20
Arkansas,19
Alaska,19
Montana,18
Mississippi,16
