Category: All categories

Region,Chelsea F.C.: (6/1/13 - 5/31/23)
Virginia,100
New York,73
New Jersey,70
District of Columbia,69
Massachusetts,69
Oregon,65
Maryland,64
Connecticut,58
Kansas,49
California,46
Vermont,46
Minnesota,45
Delaware,44
Illinois,44
Texas,44
Rhode Island,43
Pennsylvania,42
Georgia,42
Michigan,41
North Carolina,41
Nevada,40
Florida,40
Washington,39
Arizona,36
Missouri,36
Colorado,35
Indiana,34
Ohio,34
North Dakota,34
New Hampshire,33
Nebraska,32
Tennessee,32
Maine,32
Utah,32
South Carolina,31
Alabama,31
Iowa,31
Oklahoma,30
Wisconsin,29
South Dakota,27
Kentucky,27
Hawaii,26
New Mexico,25
Idaho,24
Louisiana,24
West Virginia,23
Arkansas,21
Mississippi,20
Wyoming,19
Alaska,19
Montana,18
