Category: All categories

Region,Liverpool F.C.: (6/1/13 - 5/31/23)
New Jersey,100
Virginia,97
Massachusetts,94
New York,94
Maryland,89
District of Columbia,88
Connecticut,83
California,73
Florida,66
Oregon,66
Rhode Island,66
Delaware,61
Minnesota,61
Pennsylvania,59
Texas,58
Vermont,58
Washington,57
Colorado,57
North Carolina,55
Nevada,54
Georgia,54
New Hampshire,53
Illinois,52
Kansas,52
Indiana,50
Michigan,50
Maine,48
South Carolina,47
Nebraska,46
Utah,46
Arizona,45
Ohio,45
Iowa,44
Missouri,43
Wisconsin,40
Tennessee,40
Kentucky,38
New Mexico,36
North Dakota,36
Oklahoma,35
Alabama,34
Louisiana,31
South Dakota,31
Hawaii,30
Idaho,30
West Virginia,30
Arkansas,29
Wyoming,25
Alaska,24
Montana,22
Mississippi,22
