Category: All categories

Region,Manchester City F.C.: (6/1/13 - 5/31/23)
New Jersey,100
Maryland,99
Virginia,86
New York,85
Connecticut,78
California,77
District of Columbia,74
Massachusetts,73
Delaware,71
Florida,70
Texas,66
Illinois,62
Minnesota,61
Nevada,60
North Carolina,58
Oregon,57
Rhode Island,57
Georgia,56
Kansas,54
Pennsylvania,54
Colorado,50
Utah,50
Nebraska,49
Indiana,48
New Hampshire,48
Missouri,48
Washington,47
Vermont,47
Arizona,46
Ohio,44
Tennessee,43
Wisconsin,43
Iowa,43
Michigan,43
Maine,42
South Carolina,42
Kentucky,37
Alabama,35
Oklahoma,35
New Mexico,35
Louisiana,35
North Dakota,32
Arkansas,32
South Dakota,31
Hawaii,30
Idaho,30
Mississippi,25
West Virginia,22
Wyoming,21
Montana,20
Alaska,19
