Category: All categories

Month,Liverpool F.C.: (Worldwide),Manchester City F.C.: (Worldwide),Arsenal F.C.: (Worldwide),Chelsea F.C.: (Worldwide)
2013-06,15,4,19,16
2013-07,18,4,25,17
2013-08,21,6,31,29
2013-09,18,5,26,15
2013-10,12,5,21,15
2013-11,13,4,20,11
2013-12,19,8,23,16
2014-01,20,7,26,18
2014-02,19,13,25,23
2014-03,19,10,20,18
2014-04,27,8,16,37
2014-05,19,8,18,16
2014-06,16,2,16,14
2014-07,25,5,32,19
2014-08,30,8,39,23
2014-09,17,8,24,18
2014-10,18,5,19,19
2014-11,17,7,17,16
2014-12,20,6,19,18
2015-01,20,7,24,23
2015-02,20,8,20,20
2015-03,18,8,20,21
2015-04,15,7,19,19
2015-05,15,4,21,17
2015-06,17,3,19,13
2015-07,20,6,25,19
2015-08,21,9,35,26
2015-09,16,7,19,18
2015-10,21,7,20,17
2015-11,18,6,16,15
2015-12,19,8,21,20
2016-01,25,7,26,19
2016-02,20,11,29,22
2016-03,19,7,21,16
2016-04,28,17,15,12
2016-05,25,12,16,16
2016-06,14,4,18,10
2016-07,20,7,24,19
2016-08,24,10,34,23
2016-09,18,13,21,19
2016-10,21,11,17,17
2016-11,15,8,18,14
2016-12,17,10,18,20
2017-01,23,8,19,22
2017-02,13,9,19,16
2017-03,12,9,17,15
2017-04,13,11,20,24
2017-05,16,6,21,20
2017-06,16,5,19,15
2017-07,21,9,31,29
2017-08,32,8,32,29
2017-09,20,10,19,24
2017-10,16,9,14,15
2017-11,14,9,13,15
2017-12,22,17,19,17
2018-01,31,13,33,25
2018-02,20,12,21,28
2018-03,21,11,19,21
2018-04,50,21,22,13
2018-05,62,5,20,17
2018-06,19,4,17,12
2018-07,25,6,20,19
2018-08,26,10,21,23
2018-09,33,7,14,17
2018-10,22,8,15,15
2018-11,23,10,15,13
2018-12,39,12,25,16
2019-01,36,15,23,24
2019-02,36,20,16,26
2019-03,31,12,18,14
2019-04,43,29,20,18
2019-05,69,17,24,24
2019-06,41,5,13,12
2019-07,21,6,23,14
2019-08,40,13,25,23
2019-09,25,10,18,13
2019-10,32,9,18,14
2019-11,34,14,15,15
2019-12,61,15,23,16
2020-01,42,13,22,16
2020-02,39,16,15,16
2020-03,27,8,9,10
2020-04,8,2,6,6
2020-05,8,2,7,6
2020-06,20,9,14,16
2020-07,26,12,22,25
2020-08,19,19,27,23
2020-09,28,9,26,25
2020-10,30,10,21,19
2020-11,24,9,14,15
2020-12,30,12,20,19
2021-01,35,14,21,18
2021-02,28,17,16,19
2021-03,20,13,14,17
2021-04,29,28,17,29
2021-05,28,37,16,53
2021-06,10,5,12,13
2021-07,13,6,17,16
2021-08,24,18,29,32
2021-09,26,20,16,25
2021-10,35,14,14,19
2021-11,29,18,13,22
2021-12,35,18,22,27
2022-01,28,13,25,26
2022-02,40,15,13,37
2022-03,32,17,14,23
2022-04,66,48,18,40
2022-05,93,45,17,23
2022-06,16,6,13,11
2022-07,40,24,25,25
2022-08,47,35,29,30
2022-09,31,26,24,20
2022-10,58,53,37,31
2022-11,27,22,19,17
2022-12,29,21,19,11
2023-01,37,45,44,32
2023-02,46,46,38,31
2023-03,46,28,33,24
2023-04,46,75,43,50
2023-05,31,100,29,27
